Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3810000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","0111","Wheat","2022","2022","t","233145","A","Official figure",""
"QCL","Crops and livestock products","012","Algeria","5510","Production","0111","Wheat","2022","2022","t","3000000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","024","Angola","5510","Production","0111","Wheat","2022","2022","t","2943.08","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0111","Wheat","2022","2022","t","22150287","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5510","Production","0111","Wheat","2022","2022","t","138612.8","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5510","Production","0111","Wheat","2022","2022","t","36237477.23","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","2022","2022","t","1712530","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","0111","Wheat","2022","2022","t","1690831.6","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","0111","Wheat","2022","2022","t","1085834","A","Official figure",""
"QCL","Crops and livestock products","112","Belarus","5510","Production","0111","Wheat","2022","2022","t","2350000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","056","Belgium","5510","Production","0111","Wheat","2022","2022","t","1851870","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5510","Production","0111","Wheat","2022","2022","t","769.78","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","0111","Wheat","2022","2022","t","310729.65","A","Official figure",""
"QCL","Crops and livestock products","070","Bosnia and Herzegovina","5510","Production","0111","Wheat","2022","2022","t","281414","A","Official figure",""
"QCL","Crops and livestock products","072","Botswana","5510","Production","0111","Wheat","2022","2022","t","947.41","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2022","2022","t","10343182","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","0111","Wheat","2022","2022","t","6447770","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","0111","Wheat","2022","2022","t","9197.14","I","Imputed value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","0111","Wheat","2022","2022","t","602.84","I","Imputed value",""
"QCL","Crops and livestock products","124","Canada","5510","Production","0111","Wheat","2022","2022","t","34334787","A","Official figure",""
"QCL","Crops and livestock products","148","Chad","5510","Production","0111","Wheat","2022","2022","t","1205","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5510","Production","0111","Wheat","2022","2022","t","1106926.47","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0111","Wheat","2022","2022","t","137726000","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","0111","Wheat","2022","2022","t","137720000","A","Official figure",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","0111","Wheat","2022","2022","t","6000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","170","Colombia","5510","Production","0111","Wheat","2022","2022","t","12930","A","Official figure",""
"QCL","Crops and livestock products","191","Croatia","5510","Production","0111","Wheat","2022","2022","t","971470","A","Official figure",""
"QCL","Crops and livestock products","196","Cyprus","5510","Production","0111","Wheat","2022","2022","t","33010","A","Official figure",""
"QCL","Crops and livestock products","203","Czechia","5510","Production","0111","Wheat","2022","2022","t","5188690","A","Official figure",""
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","0111","Wheat","2022","2022","t","69538.05","I","Imputed value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","0111","Wheat","2022","2022","t","9000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","208","Denmark","5510","Production","0111","Wheat","2022","2022","t","4165400","A","Official figure",""
"QCL","Crops and livestock products","218","Ecuador","5510","Production","0111","Wheat","2022","2022","t","7431","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5510","Production","0111","Wheat","2022","2022","t","9700000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","0111","Wheat","2022","2022","t","25000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","233","Estonia","5510","Production","0111","Wheat","2022","2022","t","854120","A","Official figure",""
"QCL","Crops and livestock products","748","Eswatini","5510","Production","0111","Wheat","2022","2022","t","693.73","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","0111","Wheat","2022","2022","t","7000000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","246","Finland","5510","Production","0111","Wheat","2022","2022","t","864180","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0111","Wheat","2022","2022","t","34632380","A","Official figure",""
"QCL","Crops and livestock products","268","Georgia","5510","Production","0111","Wheat","2022","2022","t","156800","A","Official figure",""
"QCL","Crops and livestock products","276","Germany","5510","Production","0111","Wheat","2022","2022","t","22587300","A","Official figure",""
"QCL","Crops and livestock products","300","Greece","5510","Production","0111","Wheat","2022","2022","t","1203260","A","Official figure",""
"QCL","Crops and livestock products","320","Guatemala","5510","Production","0111","Wheat","2022","2022","t","254.1","I","Imputed value",""
"QCL","Crops and livestock products","340","Honduras","5510","Production","0111","Wheat","2022","2022","t","1274.29","E","Estimated value",""
"QCL","Crops and livestock products","348","Hungary","5510","Production","0111","Wheat","2022","2022","t","4354710","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","2022","2022","t","107742070","A","Official figure",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5510","Production","0111","Wheat","2022","2022","t","10000000","E","Estimated value",""
"QCL","Crops and livestock products","368","Iraq","5510","Production","0111","Wheat","2022","2022","t","2764692","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5510","Production","0111","Wheat","2022","2022","t","701240","A","Official figure",""
"QCL","Crops and livestock products","376","Israel","5510","Production","0111","Wheat","2022","2022","t","104500","A","Official figure",""
"QCL","Crops and livestock products","380","Italy","5510","Production","0111","Wheat","2022","2022","t","6609520","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5510","Production","0111","Wheat","2022","2022","t","993500","A","Official figure",""
"QCL","Crops and livestock products","400","Jordan","5510","Production","0111","Wheat","2022","2022","t","30000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","0111","Wheat","2022","2022","t","16404491.25","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","0111","Wheat","2022","2022","t","270700","A","Official figure",""
"QCL","Crops and livestock products","414","Kuwait","5510","Production","0111","Wheat","2022","2022","t","37.47","I","Imputed value",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5510","Production","0111","Wheat","2022","2022","t","592507","A","Official figure",""
"QCL","Crops and livestock products","428","Latvia","5510","Production","0111","Wheat","2022","2022","t","2539400","A","Official figure",""
"QCL","Crops and livestock products","422","Lebanon","5510","Production","0111","Wheat","2022","2022","t","100000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","426","Lesotho","5510","Production","0111","Wheat","2022","2022","t","5704","A","Official figure",""
"QCL","Crops and livestock products","434","Libya","5510","Production","0111","Wheat","2022","2022","t","130000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","440","Lithuania","5510","Production","0111","Wheat","2022","2022","t","4482760","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","0111","Wheat","2022","2022","t","85890","A","Official figure",""
"QCL","Crops and livestock products","450","Madagascar","5510","Production","0111","Wheat","2022","2022","t","2000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","454","Malawi","5510","Production","0111","Wheat","2022","2022","t","1000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","466","Mali","5510","Production","0111","Wheat","2022","2022","t","33542","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5510","Production","0111","Wheat","2022","2022","t","0","A","Official figure",""
"QCL","Crops and livestock products","478","Mauritania","5510","Production","0111","Wheat","2022","2022","t","5000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","484","Mexico","5510","Production","0111","Wheat","2022","2022","t","3578244.4","A","Official figure",""
"QCL","Crops and livestock products","496","Mongolia","5510","Production","0111","Wheat","2022","2022","t","401903.45","A","Official figure",""
"QCL","Crops and livestock products","499","Montenegro","5510","Production","0111","Wheat","2022","2022","t","2248.22","I","Imputed value",""
"QCL","Crops and livestock products","504","Morocco","5510","Production","0111","Wheat","2022","2022","t","2707652.17","A","Official figure",""
"QCL","Crops and livestock products","508","Mozambique","5510","Production","0111","Wheat","2022","2022","t","16000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","104","Myanmar","5510","Production","0111","Wheat","2022","2022","t","100000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","516","Namibia","5510","Production","0111","Wheat","2022","2022","t","24696","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5510","Production","0111","Wheat","2022","2022","t","2144568","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5510","Production","0111","Wheat","2022","2022","t","1162860","A","Official figure",""
"QCL","Crops and livestock products","540","New Caledonia","5510","Production","0111","Wheat","2022","2022","t","5","A","Official figure",""
"QCL","Crops and livestock products","554","New Zealand","5510","Production","0111","Wheat","2022","2022","t","402557","A","Official figure",""
"QCL","Crops and livestock products","562","Niger","5510","Production","0111","Wheat","2022","2022","t","5476.21","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","0111","Wheat","2022","2022","t","110000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","807","North Macedonia","5510","Production","0111","Wheat","2022","2022","t","224632","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5510","Production","0111","Wheat","2022","2022","t","384000","A","Official figure",""
"QCL","Crops and livestock products","512","Oman","5510","Production","0111","Wheat","2022","2022","t","3547","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","0111","Wheat","2022","2022","t","26208672","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","0111","Wheat","2022","2022","t","32811.4","I","Imputed value",""
"QCL","Crops and livestock products","600","Paraguay","5510","Production","0111","Wheat","2022","2022","t","744950","A","Official figure",""
"QCL","Crops and livestock products","604","Peru","5510","Production","0111","Wheat","2022","2022","t","211430.08","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5510","Production","0111","Wheat","2022","2022","t","13195120","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5510","Production","0111","Wheat","2022","2022","t","61920","A","Official figure",""
"QCL","Crops and livestock products","634","Qatar","5510","Production","0111","Wheat","2022","2022","t","148.8","I","Imputed value",""
"QCL","Crops and livestock products","410","Republic of Korea","5510","Production","0111","Wheat","2022","2022","t","30798.64","I","Imputed value",""
"QCL","Crops and livestock products","498","Republic of Moldova","5510","Production","0111","Wheat","2022","2022","t","855000","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5510","Production","0111","Wheat","2022","2022","t","8684240","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5510","Production","0111","Wheat","2022","2022","t","104233944","A","Official figure",""
"QCL","Crops and livestock products","646","Rwanda","5510","Production","0111","Wheat","2022","2022","t","13877.29","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5510","Production","0111","Wheat","2022","2022","t","800000","A","Official figure",""
"QCL","Crops and livestock products","688","Serbia","5510","Production","0111","Wheat","2022","2022","t","3109827","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5510","Production","0111","Wheat","2022","2022","t","2048150","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5510","Production","0111","Wheat","2022","2022","t","150750","A","Official figure",""
"QCL","Crops and livestock products","706","Somalia","5510","Production","0111","Wheat","2022","2022","t","1056.84","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","0111","Wheat","2022","2022","t","2088590","A","Official figure",""
"QCL","Crops and livestock products","728","South Sudan","5510","Production","0111","Wheat","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","724","Spain","5510","Production","0111","Wheat","2022","2022","t","6508800","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5510","Production","0111","Wheat","2022","2022","t","476000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","752","Sweden","5510","Production","0111","Wheat","2022","2022","t","3228700","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5510","Production","0111","Wheat","2022","2022","t","487145","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5510","Production","0111","Wheat","2022","2022","t","1551605","A","Official figure",""
"QCL","Crops and livestock products","762","Tajikistan","5510","Production","0111","Wheat","2022","2022","t","840000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","764","Thailand","5510","Production","0111","Wheat","2022","2022","t","1321.18","E","Estimated value",""
"QCL","Crops and livestock products","788","Tunisia","5510","Production","0111","Wheat","2022","2022","t","1135000","A","Official figure",""
"QCL","Crops and livestock products","792","Türkiye","5510","Production","0111","Wheat","2022","2022","t","19750000","A","Official figure",""
"QCL","Crops and livestock products","795","Turkmenistan","5510","Production","0111","Wheat","2022","2022","t","1100000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","800","Uganda","5510","Production","0111","Wheat","2022","2022","t","25000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","0111","Wheat","2022","2022","t","20729240","A","Official figure",""
"QCL","Crops and livestock products","784","United Arab Emirates","5510","Production","0111","Wheat","2022","2022","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5510","Production","0111","Wheat","2022","2022","t","15540000","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5510","Production","0111","Wheat","2022","2022","t","75000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","0111","Wheat","2022","2022","t","44902320","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5510","Production","0111","Wheat","2022","2022","t","1283100","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5510","Production","0111","Wheat","2022","2022","t","6270058.7","A","Official figure",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5510","Production","0111","Wheat","2022","2022","t","621.29","I","Imputed value",""
"QCL","Crops and livestock products","887","Yemen","5510","Production","0111","Wheat","2022","2022","t","100000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","894","Zambia","5510","Production","0111","Wheat","2022","2022","t","234924.63","A","Official figure",""
"QCL","Crops and livestock products","716","Zimbabwe","5510","Production","0111","Wheat","2022","2022","t","200000","X","Figure from international organizations","Unofficial figure"
